dnu_id,dnu_number,date,description,affects_spending,fiscal_impact_millions,rejected,congress_action_date,rejection_reason,affected_ministries,constitutional_challenge
DNU_001_2024,70/2023,2024-01-15,Fiscal Emergency and Administrative Reform,True,850,True,2024-03-20,Excessive executive power,Economy;Interior,True
DNU_002_2024,5/2024,2024-02-03,Administrative Procedure Simplification,False,0,False,2024-04-10,None,Modernization,False
DNU_003_2024,18/2024,2024-02-20,Energy Subsidy Reduction Program,True,1200,True,2024-04-15,Budget authority violation,Energy;Economy,True
DNU_004_2024,25/2024,2024-03-10,Regulatory Framework Update,False,50,False,2024-05-05,None,Production,False
DNU_005_2024,32/2024,2024-03-25,Public Spending Reduction Measures,True,2100,True,2024-05-30,Congressional prerogative,Economy;Labor,True
DNU_006_2024,41/2024,2024-04-12,Tax Policy Modifications,True,780,True,2024-06-18,Tax law exclusivity,AFIP;Economy,True
DNU_007_2024,48/2024,2024-04-30,Procedural Administrative Changes,False,0,False,2024-06-25,None,Justice,False
DNU_008_2024,55/2024,2024-05-15,Pension System Reform,True,1500,True,2024-07-20,Social security authority,Labor;ANSES,True
DNU_009_2024,62/2024,2024-06-01,Minor Regulatory Adjustment,False,25,False,2024-07-30,None,Production,False
DNU_010_2024,68/2024,2024-06-18,Healthcare Spending Reduction,True,980,True,2024-08-25,Health budget protection,Health;Economy,True
DNU_011_2024,74/2024,2024-07-05,Trade Policy Modification,False,100,False,2024-09-01,None,Foreign Affairs,False
DNU_012_2024,81/2024,2024-07-22,Emergency Infrastructure Fund,True,1800,True,2024-09-28,Infrastructure planning authority,Public Works;Economy,True
DNU_013_2024,87/2024,2024-08-08,Environmental Regulation Update,False,75,False,2024-10-10,None,Environment,False
DNU_014_2024,93/2024,2024-08-25,Education Budget Reallocation,True,650,True,2024-10-30,Education funding protection,Education;Economy,True
DNU_015_2024,99/2024,2024-09-10,Technology Development Incentives,False,200,False,2024-11-15,None,Science;Production,False
DNU_016_2024,105/2024,2024-09-28,Agricultural Policy Reform,True,420,True,2024-12-02,Agricultural sector consultation,Agriculture;Economy,False
DNU_017_2024,112/2024,2024-10-15,Digital Administration Platform,False,180,False,2024-12-20,None,Modernization,False
DNU_018_2024,118/2024,2024-11-02,Cultural Program Funding Changes,True,290,True,2025-01-08,Cultural protection mandate,Culture;Economy,False
DNU_019_2024,124/2024,2024-11-18,Security Forces Reorganization,True,580,True,2025-01-25,Security organization authority,Security;Defense,False
DNU_020_2024,131/2024,2024-12-05,End-of-Year Administrative Measures,False,50,False,2025-02-10,None,Interior,False
